Date,Open,High,Low,Close,Volume
1995-11-30,0.274419,0.318477,0.266288,0.285783,5792555236
1995-12-31,0.284939,0.300791,0.237305,0.239062,7812144692
1996-01-31,0.241765,0.266288,0.201171,0.207191,12265820356
1996-02-29,0.20627,0.226765,0.204315,0.20627,5539866668
1996-03-31,0.207191,0.207191,0.172445,0.184152,3985416140
1996-04-30,0.188384,0.198581,0.178141,0.182619,3414205671
1996-05-31,0.182619,0.216571,0.176362,0.195841,4291640547
1996-06-30,0.194042,0.194937,0.147214,0.157487,5565874074
1996-07-31,0.158369,0.170667,0.119998,0.164992,5720147002
1996-08-31,0.164992,0.187402,0.155659,0.181697,3795626207
1996-09-30,0.18087,0.18473,0.151772,0.166128,3826795369
1996-10-31,0.164992,0.208136,0.164992,0.172445,6927040581
1996-11-30,0.175166,0.197616,0.173346,0.18087,3073970628
1996-12-31,0.18087,0.19139,0.155659,0.156583,4938953709
1997-01-31,0.158369,0.166689,0.123603,0.124821,10804104049
1997-02-28,0.126558,0.134024,0.113348,0.121707,5447065501
1997-03-31,0.123603,0.145201,0.119075,0.136753,5361413440
1997-04-30,0.132284,0.149031,0.125654,0.127403,4536740453
1997-05-31,0.126558,0.134996,0.12266,0.124821,2730228144
1997-06-30,0.127403,0.128316,0.104962,0.10676,3063180972
1997-07-31,0.104363,0.135869,0.0956707,0.131382,8076663642
1997-08-31,0.132284,0.221659,0.131626,0.163174,21048788112
1997-09-30,0.164992,0.174211,0.157487,0.162582,4294228223
1997-10-31,0.162582,0.185714,0.119075,0.127728,7657098420
1997-11-30,0.131626,0.161306,0.126558,0.13314,6606118118
1997-12-31,0.132541,0.13467,0.0956707,0.0983713,6070611638
1998-01-31,0.101955,0.149973,0.101368,0.13739,12160268754
1998-02-28,0.138553,0.179084,0.130173,0.177307,8757573557
1998-03-31,0.17663,0.20999,0.162241,0.20627,12653749440
1998-04-30,0.20573,0.22223,0.185076,0.205188,9624165535
1998-05-31,0.20627,0.237305,0.192322,0.199708,8101630967
1998-06-30,0.198581,0.217437,0.192322,0.215059,4655962675
1998-07-31,0.216571,0.285783,0.213487,0.259452,13013003385
1998-08-31,0.256683,0.328124,0.232446,0.233632,15743831764
1998-09-30,0.235115,0.301164,0.229685,0.285783,9622298317
1998-10-31,0.275599,0.309786,0.213487,0.278318,15398554919
1998-11-30,0.281325,0.295439,0.238102,0.239615,12055411065
1998-12-31,0.239868,0.31131,0.237305,0.306938,15390433091
1999-01-31,0.315838,0.354781,0.278005,0.308589,18014189208
1999-02-28,0.312516,0.314316,0.258488,0.2612,9665404551
1999-03-31,0.2612,0.278318,0.239868,0.269333,11851149981
1999-04-30,0.270463,0.353288,0.251292,0.344898,18921086527
1999-05-31,0.345419,0.374874,0.306938,0.330453,10609005819
1999-06-30,0.337377,0.367379,0.315462,0.347295,8238912067
1999-07-31,0.347295,0.424384,0.338684,0.417499,13654768318
1999-08-31,0.41687,0.49392,0.390773,0.489105,11008765030
1999-09-30,0.502267,0.600679,0.430699,0.474698,22587060604
1999-10-31,0.465752,0.607944,0.446287,0.600679,17229541784
1999-11-30,0.599794,0.777856,0.579561,0.733857,9992355214
1999-12-31,0.757233,0.884711,0.682981,0.770784,11215507130
2000-01-31,0.786303,0.911036,0.648508,0.777856,14951101752
2000-02-29,0.779624,0.89915,0.727276,0.859669,8716628074
2000-03-31,0.888936,1.12731,0.854757,1.01807,10358277835
2000-04-30,1.01612,1.04588,0.786303,0.930383,10315465024
2000-05-31,0.936374,0.946588,0.613053,0.629845,11679378606
2000-06-30,0.613053,0.864186,0.602642,0.785419,9651933718
2000-07-31,0.781391,0.908875,0.703017,0.762045,6843435730
2000-08-31,0.75458,0.922233,0.66324,0.913784,6711629616
2000-09-30,0.919581,0.961517,0.380658,0.386333,17287218502
2000-10-31,0.400417,0.401322,0.262429,0.293328,26086104788
2000-11-30,0.29142,0.344898,0.241765,0.247461,10108223029
2000-12-31,0.254954,0.262429,0.204315,0.223074,10549541321
2001-01-31,0.223074,0.337377,0.216571,0.324176,16325658832
2001-02-28,0.310386,0.329057,0.269951,0.273517,8364122553
2001-03-31,0.266945,0.356302,0.257941,0.331072,12859864412
2001-04-30,0.331072,0.406708,0.281325,0.382092,13288478767
2001-05-31,0.381208,0.400417,0.289527,0.299032,8893647206
2001-06-30,0.301735,0.376415,0.290332,0.348532,9095887764
2001-07-31,0.354523,0.378165,0.267868,0.281639,10306769097
2001-08-31,0.285206,0.298424,0.259138,0.278318,6108202855
2001-09-30,0.277375,0.286098,0.220098,0.232446,6587112400
2001-10-31,0.232446,0.291125,0.222495,0.263341,8983927705
2001-11-30,0.264434,0.323362,0.258488,0.319412,6394461644
2001-12-31,0.315838,0.360505,0.301164,0.328448,5513358642
2002-01-31,0.330764,0.370946,0.303412,0.370641,10140379584
2002-02-28,0.378595,0.389527,0.314018,0.325441,9333051802
2002-03-31,0.328712,0.37938,0.32721,0.355075,6333536498
2002-04-30,0.350595,0.392522,0.344898,0.363844,7648515687
2002-05-31,0.364111,0.389527,0.332004,0.349398,7116597156
2002-06-30,0.35091,0.35151,0.239615,0.265669,10369781283
2002-07-31,0.265669,0.281639,0.206898,0.228802,9667665215
2002-08-31,0.226502,0.243562,0.209678,0.221364,6134790683
2002-09-30,0.217437,0.227659,0.210887,0.217437,6301687139
2002-10-31,0.218626,0.246509,0.200299,0.241095,7873102878
2002-11-30,0.239062,0.260611,0.224919,0.232446,5396516831
2002-12-31,0.238386,0.241439,0.206584,0.215059,5394989980
2003-01-31,0.215354,0.230656,0.203362,0.215354,7199568589
2003-02-28,0.216277,0.22939,0.206898,0.224919,4899442185
2003-03-31,0.224919,0.227368,0.210591,0.211986,4797151637
2003-04-30,0.212899,0.223997,0.190763,0.213194,9285784103
2003-05-31,0.213487,0.284939,0.20999,0.269068,12895879972
2003-06-30,0.271396,0.295439,0.249228,0.285783,7286910451
2003-07-31,0.283112,0.323685,0.277682,0.316152,6205310844
2003-08-31,0.314904,0.342779,0.291125,0.338964,5129409929
2003-09-30,0.339781,0.349691,0.302007,0.310731,6376241145
2003-10-31,0.310731,0.375137,0.302881,0.343415,8385986092
2003-11-30,0.342188,0.349398,0.297785,0.313698,5930052107
2003-12-31,0.315462,0.328448,0.288582,0.320561,6513519894
2004-01-31,0.323362,0.372469,0.317623,0.338367,9440609431
2004-02-29,0.336728,0.361389,0.325441,0.35863,5861283371
2004-03-31,0.361134,0.42194,0.353896,0.405516,13821178906
2004-04-30,0.403346,0.443566,0.382092,0.386591,10624228123
2004-05-31,0.389823,0.431594,0.382377,0.42073,6315663172
2004-06-30,0.416586,0.512385,0.413886,0.487939,9797915092
2004-07-31,0.481072,0.504231,0.430974,0.484973,11549014409
2004-08-31,0.468471,0.527609,0.445393,0.517294,9542445359
2004-09-30,0.514249,0.589089,0.512385,0.581232,9141930916
2004-10-31,0.586534,0.797892,0.564535,0.785712,19198903498
2004-11-30,0.787285,1.04306,0.780215,1.00543,20777341977
2004-12-31,1.00543,1.01905,0.923803,0.965743,19039087395
2005-01-31,0.972516,1.16815,0.938828,1.15316,30703122814
2005-02-28,1.15528,1.36273,1.14831,1.34543,25573782949
2005-03-31,1.35241,1.3528,1.16463,1.24969,17497285094
2005-04-30,1.26246,1.33318,1.01955,1.08133,23160799376
2005-05-31,1.08713,1.22778,0.99294,1.1925,15369456782
2005-06-30,1.19665,1.22246,1.06524,1.10392,13537083450
2005-07-31,1.10461,1.3311,1.0884,1.27894,12140860696
2005-08-31,1.27748,1.44944,1.26029,1.40632,11253727161
2005-09-30,1.40959,1.63644,1.38225,1.60776,14687685648
2005-10-31,1.62437,1.73879,1.43559,1.72729,22187350279
2005-11-30,1.71728,2.13115,1.70568,2.0342,16005851922
2005-12-31,2.06594,2.26366,2.0635,2.1561,15523075345
2006-01-31,2.1717,2.59138,2.12507,2.26512,26020641003
2006-02-28,2.24909,2.29262,1.8864,2.05406,22316596543
2006-03-31,2.06928,2.09932,1.72956,1.88109,27586241176
2006-04-30,1.90918,2.16092,1.83101,2.11101,23933231479
2006-05-31,2.12231,2.21364,1.76021,1.79259,18567998552
2006-06-30,1.79496,1.8924,1.66188,1.71758,21346086857
2006-07-31,1.71982,2.05807,1.50425,2.03845,20811825232
2006-08-31,2.01606,2.0995,1.87689,2.03519,21289150649
2006-09-30,2.05347,2.33298,2.0342,2.30883,21101208869
2006-10-31,2.24939,2.47757,2.17722,2.43199,17106514228
2006-11-30,2.43266,2.79352,2.33317,2.74962,16463636736
2006-12-31,2.75382,2.76897,2.30284,2.54416,20115819058
2007-01-31,2.58767,2.93328,2.45564,2.57095,32341787947
2007-02-28,2.58332,2.72387,2.4854,2.5371,16337441648
2007-03-31,2.5191,2.90389,2.51123,2.78654,18954270336
2007-04-30,2.82327,3.0743,2.68743,2.99318,16031927267
2007-05-31,2.9866,3.66271,2.95615,3.63472,20677145158
2007-06-30,3.63176,3.82673,3.46048,3.65956,27714197895
2007-07-31,3.63235,4.46608,3.57736,3.95165,28580208712
2007-08-31,4.00764,4.18942,3.34772,4.1523,28959124167
2007-09-30,4.19856,4.64827,3.89823,4.60232,24876398300
2007-10-31,4.63736,5.70203,4.587,5.69709,27591507595
2007-11-30,5.65627,5.77835,4.51795,5.46473,31161621608
2007-12-31,5.45198,6.0872,5.30875,5.94118,20510074949
2008-01-31,5.98291,6.0059,3.78292,4.06018,41794208605
2008-02-29,4.08728,4.09583,3.46194,3.74923,29543531087
2008-03-31,3.73088,4.37093,3.53896,4.30383,27292374958
2008-04-30,4.38762,5.39836,4.30749,5.21664,27106225415
2008-05-31,5.24727,5.76547,5.15871,5.66075,21565957760
2008-06-30,5.6536,5.69709,4.9236,5.02237,23172409974
2008-07-31,4.92032,5.42572,4.39499,4.76712,23389549508
2008-08-31,4.79679,5.41259,4.5866,5.08385,15573978248
2008-09-30,5.17501,5.2032,3.01706,3.40864,28636525900
2008-10-31,3.35519,3.49112,2.54954,3.22722,49124711996
2008-11-30,3.17653,3.35253,2.37395,2.77907,28121516250
2008-12-31,2.73881,3.10731,2.53551,2.56007,24063233817
2009-01-31,2.56665,2.91323,2.34537,2.70316,21444784821
2009-02-28,2.66945,3.08933,2.59501,2.67888,16226925964
2009-03-31,2.63951,3.29823,2.46902,3.15268,18350924887
2009-04-30,3.12076,3.81544,3.11576,3.7732,14035999835
2009-05-31,3.7732,4.07589,3.5795,4.07295,11238544735
2009-06-30,4.08925,4.39057,3.98523,4.27155,15053280679
2009-07-31,4.30423,4.94802,4.031,4.9002,12979854502
2009-08-31,4.95247,5.17304,4.78137,5.04505,9700156077
2009-09-30,5.03879,5.6652,4.9226,5.55875,11862367223
2009-10-31,5.56293,6.25997,5.41965,5.6536,15353006108
2009-11-30,5.69319,6.23759,5.56591,5.99509,10031366470
